chain_id,dp,mass,fraction_m1,fraction_m2,sequence
899,276,32332.70999999987,0.5,0.5,211212212122121211212112222112121221212221212212122112112212221212121212112112112222212212112121211221221221222112212122121212111122121212121212121212221212112112121112122121211212121121211112121212121121212121212111211212122212222112221112121212111121112212121212121221121211
900,167,19784.55599999998,0.4491017964071856,0.5508982035928144,22212121122121211212212121212212221222122221221212122112212221112121122211122121121122122211122121222121212121121122122211211122122121122121211212112121212221221212212
901,78,9137.505000000001,0.5,0.5,122221211211212212221211212111121122221221221212121121211212111212121212121212
902,30,3592.3980000000006,0.4,0.6,122121212212221221221212111222
903,59,6950.689000000001,0.4745762711864407,0.5254237288135594,12112212122212121212212121122121221112121212221212121221121
904,123,14500.111000000003,0.4715447154471545,0.5284552845528455,212212122221221211221221121221212112212222112111121212122212121212211122111122121212122112122212121121212212122111212212121
905,473,55683.672999999704,0.47780126849894294,0.5221987315010571,11121212221212121111121212221112222212112121212121112112121212112122212121121222111212221212122122122111212121121212121122122122222121211212121112122211122212122211222212122121112121212112222212212122122221212122121212112122122112221121221112122122122121221111221212122112111221112121211112211122112112212212212112122122121211212112122122212112122121212212211112121212212222112121112121221212112112121212121212221211212212221211212212122212122122222122122112112121221211211
906,54,6325.965000000001,0.5,0.5,121221121122121212221221212212122112112221212121121111
907,191,22492.131999999954,0.47643979057591623,0.5235602094240838,12212121221221211212122112222122212112212121212221111212212122122121212212112212122121121211112222211121221212121212212211222211221212121212111221211212122111212222121212111121221112212121211
908,96,11194.178000000002,0.5208333333333334,0.4791666666666667,212221212121212121212112212212212122112112112121121212111211212112121111112121212222112122121221
909,188,22179.675999999956,0.46808510638297873,0.5319148936170213,12221222112211212222212221212121212121121211222122212122212212111221121222121212121221212112121212121122211221212122212121121212121212121121221212122212121121212121121121212121212112211211
910,44,5232.463000000001,0.4318181818181818,0.5681818181818182,22121121212122111212121212222112122222122121
911,104,12417.259000000002,0.41346153846153844,0.5865384615384616,21211222122112221212212122211112121221122212112122222212122212221121222122121121211222121221212122111222
912,62,7289.136000000001,0.4838709677419355,0.5161290322580645,12222112122112211222122111212122121221212121112121112121212212
913,105,12365.465000000002,0.47619047619047616,0.5238095238095238,121212221121221212121221121211211121221222211211212121121222112221222122112212122121121122212112112212121
914,22,2551.2540000000004,0.5454545454545454,0.45454545454545453,2122111212111122121212
915,164,19498.090999999982,0.4329268292682927,0.5670731707317073,21211122222121221122121121212122222112122121222122112121121221212212112212112121212122221121112221122121212212112122221221211212122212221222111222212121212221211212
916,292,34414.997999999876,0.4726027397260274,0.5273972602739726,2212121121212121221211211112211212212222121112121211212211212222212221222121212122212212221121212111212122122121212211112122212121212222121212112221212212112221122122121212121212222121211212112122212211211221121212121212121221221211212112112112212121112121121121212112221221212211221121121212
917,151,17884.204999999994,0.4503311258278146,0.5496688741721855,2122111212222122212212111121222121212121211221212112121212122122122111212122112222121212122121112121212121212212211212212211222121212212212112222221121
918,132,15489.461000000003,0.49242424242424243,0.5075757575757576,211122122121212122112111121211221112211221222211221121122122112122212112112212121212221212121121221211211222121212121121122212121221
919,140,16582.587,0.45,0.55,21221212211122221121121212212121212121212112121221222122112122122121211212212122122122122121221221212121221121212212121212211212212121122121
920,10,1171.4750000000001,0.5,0.5,2111222112
921,59,6898.707000000001,0.5084745762711864,0.4915254237288136,11112211222112121122121222122121111222122111212212221121211
922,114,13562.743000000002,0.4298245614035088,0.5701754385964912,122221212122212122212112112121121212212212112211121222112221212222222212222121212121221211121211212112221221212211
923,31,3592.5860000000007,0.5483870967741935,0.45161290322580644,1121212122211121212111212121221
924,104,12209.331000000002,0.49038461538461536,0.5096153846153846,22112212211211212122121121221212112212112222122121212121221121212121112212212121211212112122122121211121
925,4,468.59,0.5,0.5,2121
926,102,12130.982000000002,0.43137254901960786,0.5686274509803921,222122122112121112122211222212212121221212122121212212112121122112122212122112121212121212221212222121
927,58,6846.537000000001,0.46551724137931033,0.5344827586206896,2112211211122121211222122122122211221212121121222121122121
928,132,15567.434000000003,0.4696969696969697,0.5303030303030303,221222121211222122112121121212212112212121212111221211211222221211222122112122221222121122122112122122121212111221221111211212111212
929,104,12157.349000000002,0.5096153846153846,0.49038461538461536,12112211221122121212121212221121121211221221211212212212122221212112121111212211212122211212121111211221
930,162,19081.858999999986,0.47530864197530864,0.5246913580246914,212121212212122121212221121122121111121122112121221221122221212212122212121212212111212212122112212222122122111212111121221212111221212111221211212122222212121211
931,38,4425.6140000000005,0.5263157894736842,0.47368421052631576,12112121212212122121111212221121211122
932,453,53470.677999999716,0.46578366445916114,0.5342163355408388,121212121211212221121222122212212122212121122212212212121121212121212111211212212122122121212121112211121111221222122222121212212121112112121122222211211121212212212212122112222112211121212122112122111211221121212211121221212112122121221122222122122122121111222122121222222211121122122211212121122122221212121212121112211212122111212111222112212212121222212121222111212221211112121221211221121212111122121222122122112121212211212211212121212121212122222
933,29,3514.2370000000005,0.3448275862068966,0.6551724137931034,21122121212212112222122212222
934,175,20591.780999999974,0.48,0.52,1121221212121212221212121212122122121111121212221212121121211121121112122222122212211121212122122121212121212112121212212212122212112211122112122121112122121212111221221212222
935,205,24028.232999999942,0.4975609756097561,0.5024390243902439,1211122211222211121212212121121211222122121221222121122121112112212112112222221221221121121111211212122122121121112221212122122112221212112121212122212211221212121112121221212112112112121221211221121211112
936,70,8356.271,0.4142857142857143,0.5857142857142857,2211212112222112212122121211212121212222122212122221221121212221221121
937,26,3019.8440000000005,0.5384615384615384,0.46153846153846156,12122121212111212112122121
938,330,38684.66599999984,0.49696969696969695,0.503030303030303,121122121222222221212222121211222111112122211221222112121212112122111221211212112121222121211211221212212212121222121212122221212121212111212121221212122121211212221212211212121211112121212122212121212221211121212122121121111221211221122112211222112122112121121122111121121121211111112212122121121221212211121221221221112211121212
939,366,43317.83199999982,0.453551912568306,0.546448087431694,221211211121222122112121212122221122122211222121121212121121111211121121212212121212121222111222121221121221122122222121221122212212212122222112121112211212121121212122122121122122112112122112121211222222212222122122212221221221112112122122112212121212122112212222211221221212211221121212112121211112122121212112112212112122112221211212211212121122222122112121222212
940,92,10751.579000000002,0.5108695652173914,0.4891304347826087,22111212211121212121121211212212221121212222121212112211212122111222112121211121222121211211
941,202,23845.731999999953,0.46534653465346537,0.5346534653465347,2122212122112122221221121212222122121221211121212121211112122112122121212112212212212221211211221211112212211121122121112221212121122122121212121121221112221221211221212212112211121212221221212221212122
942,48,5701.053000000001,0.4375,0.5625,122121222121212112122121211221212222121122121221
943,133,15827.532000000003,0.42857142857142855,0.5714285714285714,2211111222112112111212222212211211121121212122212122112212212211212221212121221212122222121222121122212112122222121212212221212122212
944,219,25772.26199999993,0.4794520547945205,0.5205479452054794,121212221212122211212122212111221221221112121212121211212122211212121212121211212222121222121122122122122211221221112122121122221112122211221212121112121111222112222221212112111121222112212211121121212121221211212121112
945,99,11766.544000000002,0.43434343434343436,0.5656565656565656,221122221122222112121221212112121121212121222122122221221221221221212122121221111112212122112211212
946,53,6299.786000000001,0.4339622641509434,0.5660377358490566,21112212122122121122121121221122221221221212121122212
947,17,1978.5120000000004,0.5294117647058824,0.47058823529411764,11122121221211122
948,233,27438.31799999992,0.47639484978540775,0.5236051502145923,21212112221121212121212212212221211212121212121122221221121211221221112121122211212222212221221122111212122122122121121122212121212122211111121122211122121212212112121122121212111122122212121211212121122122211212122222112121212112121
949,260,30510.33199999991,0.49230769230769234,0.5076923076923077,11221212112212212121212121212221221212211111112112112221212212121221112122212121221121211212121112211212212111121221211211121121212211121212121212121122211211221212112222121211212211222121122211221122121212212122121212112222211212221122212122121122121212121212
950,44,5258.454000000001,0.4090909090909091,0.5909090909090909,21212122212121122122221212112211221212212221
951,155,18326.80399999999,0.45806451612903226,0.5419354838709678,12121212222111211112122121222121212221212222121221212112112112121121122212122112112212121221221222122212211212122112121221222121212211212122212122112111212
952,387,45557.00599999981,0.4780361757105943,0.5219638242894057,121212211212112121222121212112121212211212121112212221212121211221121221212222112122122211121211212211111212121211222211212121221212212122212212212222221212211221211111212122221112212122112121221212111222121221211212121212112121212221212221212221211211122122212221212121221212212211121122112112112112121212211221211112212212112221211212212211222122121221112221211112212211212221111122211
953,157,18483.12599999999,0.47770700636942676,0.5222929936305732,2121121211212212212121221222121212122221211212121121222121121211111211212122121112122122112121221122121121221222121212212111212122112212121211122212222121221
954,188,22231.657999999963,0.4574468085106383,0.5425531914893617,21211212121212212121121112211212122112211211212221221212112212121222122222221121212121211212122221121212212211221211221212211222112121222211212122121221212122212121222121121221111221122121
955,4,494.581,0.25,0.75,2122
956,61,7210.975000000001,0.45901639344262296,0.5409836065573771,1212121212112112212122212221222122111121122121121122212212212
957,221,26188.49399999994,0.4479638009049774,0.5520361990950227,21212221221112211212221121122212112222121121211122112212122122112122112121212222221221211121122122121221122122121222112211122121212221221111211221221211212122121211212122211212122111221121221212222112122222112212121212222
958,125,14786.388000000003,0.456,0.544,22121212112221211212112222221121221212221222211112122222112111211121121212121121221212221121121212212111122212212122122212212
959,56,6508.278000000001,0.5357142857142857,0.4642857142857143,21122221121112121222121212121212211111212121212121121121
960,16,1848.3690000000004,0.5625,0.4375,2211112112121212
961,87,10100.864000000001,0.5402298850574713,0.45977011494252873,121122122211212221121111112121211211121211121212112122121212221221121112122212122111212
962,88,10412.944000000001,0.45454545454545453,0.5454545454545454,1212211212221212122121212121222112212212121212221121211112221111212122121222212121221212
963,14,1718.0380000000002,0.2857142857142857,0.7142857142857143,21222122121222
964,26,3097.8170000000005,0.4230769230769231,0.5769230769230769,21221221121221212212212121
