chain_id,dp,mass,fraction_m1,fraction_m2,sequence
323,908,126747.25999999905,0.4790748898678414,0.5209251101321586,11221122112121212122121122112122122221211121222121121212212122212122121212121212212121212211212122212121212122121121221121121221221212121222121222121122211212122122121122112111211212122122222121121221222121212112221211212122121221212221221212122122222122222122121221212222121121212121121221212121211121221121212121212121212212122212211212112211211121212121221211211121221121212121211221212212122222121212121121212121121122121121212112111221212212121221222222122121211112121222121212112212121212222121211212221121212112221121121111222122121121122111211212112221221212121112121211121212111111212122122121211121212122121122212122221211112121221221211221211122112121212212211122212121122121122122112212112221212112121222111211122221211221211221212121122112121212221221121111121212121212212211221221212122122212111122212221212112111212122212122121122122211221121211221112121122221112212112122121212112112121212112
324,73,10392.244000000006,0.4383561643835616,0.5616438356164384,1221112222121112222211221221212211212112122121212122221221121221221212121
325,24,3247.956,0.5416666666666666,0.4583333333333333,211212112121221211211212
326,268,37572.71199999997,0.4701492537313433,0.5298507462686567,2121212221212121212112122121222212111222221221211121121121212221121111122112212121121211212122212121212122122121221221221121221212222222212112222112121212212211112212212111222212221212212211222212121121212221121111112111212212121112111212112122221212211221121221122211
327,73,10664.356000000007,0.3835616438356164,0.6164383561643836,2212211222122121212221222122121212212121122121221212212222212121212211122
328,291,40716.51599999999,0.4742268041237113,0.5257731958762887,222121221122121121211111212222212221122122112112221122222122121212111112112212122122211212111221222211211211122221121221221221212121112112111211121212121221121211221212111111221212121212121221212222121222112222112122121212222221212112121212211222112122221212112221212121112112212121211212122
329,56,7941.380000000005,0.44642857142857145,0.5535714285714286,21221221212111111212212212221212221121122122212211221212
330,52,7456.744000000003,0.4230769230769231,0.5769230769230769,2221212121222221112121221212221221211212122112121221
331,48,6768.024000000002,0.4583333333333333,0.5416666666666666,121212112122122212121221222121212211211122112212
332,63,9010.584000000006,0.42857142857142855,0.5714285714285714,221212122122112212212112212112121212121221222211212121222212121
333,31,4385.188,0.45161290322580644,0.5483870967741935,1212221212111112212121222122122
